model,k,task_type,score_WithCorr,score_NoCorr,difference
gpt-oss-20b,2,implicit_standard,0.7125,0.7,0.0125
qwen3-235b-a22b-2507,2,implicit_standard,0.83,0.8225,0.0075
gemma-3-27b-it,2,implicit_standard,0.62,0.62,0.0
qwen3-coder,2,implicit_standard,0.6725,0.6725,0.0
qwen3-235b-a22b-thinking-2507,2,implicit_standard,0.385,0.3875,-0.0025
kimi-k2-0905,2,implicit_standard,0.705,0.7075,-0.0025
grok-code-fast-1,2,implicit_standard,0.785,0.795,-0.01
qwen3-30b-a3b,2,implicit_standard,0.6975,0.71,-0.0125
gpt-4.1-mini,2,implicit_standard,0.7,0.7125,-0.0125
gemini-2.5-pro,2,implicit_standard,0.9275,0.945,-0.0175
gpt-oss-120b,2,implicit_standard,0.6775,0.71,-0.0325
